job_title_short,job_posted_date,job_country,job_skills,salary_year_avg
Data Analyst,2023-10-27 16:57:51,United States,"['sas', 'sas', 'sql', 'word', 'excel', 'powerpoint', 'tableau', 'power bi']",62500.0
Data Scientist,2023-08-27 13:38:00,United States,"['r', 'sql', 'python', 'windows', 'linux']",174000.0
Data Scientist,2023-03-16 14:50:20,Argentina,"['excel', 'powerpoint', 'tableau']",50400.0
Data Engineer,2023-10-25 18:11:12,United States,"['sql', 'c#', 'python', 'powershell', 'azure', 'power bi']",125000.0
Data Engineer,2023-02-23 13:18:33,United States,"['t-sql', 'snowflake', 'aws', 'ssis', 'alteryx']",92050.0
Data Scientist,2023-03-20 20:38:57,United States,['jira'],138000.0
Senior Data Scientist,2023-08-08 11:03:49,United States,"['python', 'c#', 'aws', 'pytorch']",337500.0
Data Engineer,2023-04-20 18:25:38,United States,"['sql', 'python']",102500.0
Data Analyst,2023-12-15 20:02:00,United States,"['python', 'go', 'solidity', 'rust', 'sql', 'snowflake']",179000.0
Data Scientist,2023-10-28 09:02:08,United States,"['sql', 'python', 'alteryx']",136369.5
Senior Data Scientist,2023-02-09 05:03:20,United States,"['sql', 'sql server', 'postgresql', 'oracle', 'hadoop', 'ssis', 'alteryx', 'tableau']",102000.0
Data Engineer,2023-07-11 14:10:29,Sudan,"['sql', 't-sql', 'azure', 'selenium', 'ansible', 'jenkins', 'puppet']",125000.0
Data Analyst,2023-07-17 09:00:47,United States,"['r', 'python', 'sql', 'vba', 'power bi', 'tableau', 'excel']",75000.0
Software Engineer,2023-06-28 08:34:26,Germany,"['java', 'c', 'c++', 'c#', 'python', 'azure', 'kubernetes']",80850.0
Data Scientist,2023-07-14 06:51:52,Morocco,"['python', 'linux']",70000.0
Data Scientist,2023-06-16 11:18:59,United States,"['sql', 'python']",157500.0
Senior Data Engineer,2023-08-30 10:47:53,Sudan,"['python', 'aws', 'redshift', 'flow', 'terraform', 'ansible', 'puppet']",135000.0
Data Engineer,2023-06-27 17:27:08,United States,"['snowflake', 'tableau', 'excel']",225000.0
Data Scientist,2023-03-22 02:20:03,United States,['aws'],350000.0
Data Engineer,2023-01-19 08:00:42,Canada,"['java', 'scala', 'sql', 'nosql', 'azure', 'aws', 'spring', 'spark', 'kafka']",90000.0
Data Analyst,2023-10-27 12:00:41,United States,"['python', 'r', 'vba', 'sas', 'sas', 'databricks', 'snowflake', 'redshift', 'excel', 'looker', 'tableau']",200000.0
Data Engineer,2023-03-27 14:21:09,India,"['sql', 'python', 'snowflake', 'airflow', 'looker', 'git', 'github']",147500.0
Senior Data Engineer,2023-01-04 12:58:34,Sudan,"['scala', 'spark']",135000.0
Senior Data Scientist,2023-10-18 21:44:53,United States,"['python', 'sql', 'r', 'databricks', 'scikit-learn', 'tensorflow', 'pytorch', 'qlik']",160000.0
Data Analyst,2023-05-15 12:26:03,United States,"['sql', 'azure']",130000.0
Business Analyst,2023-08-16 07:02:37,United States,"['swift', 'sql']",95640.0
Data Engineer,2023-03-17 12:07:53,United States,"['r', 'python']",170000.0
Data Scientist,2023-08-21 23:29:13,Netherlands,"['python', 'sql', 'r']",157500.0
Data Engineer,2023-03-30 10:46:10,El Salvador,"['sql', 'azure', 'powerpoint', 'power bi', 'flow']",147500.0
Data Scientist,2023-09-14 15:02:22,United States,"['python', 'aws', 'azure']",110000.0
Machine Learning Engineer,2023-04-29 05:24:38,Armenia,"['python', 'aws', 'gcp', 'azure', 'flask', 'django', 'excel', 'docker', 'kubernetes', 'jenkins']",128682.0
Data Scientist,2023-01-04 23:05:28,United States,"['python', 'r', 'scikit-learn', 'keras', 'pytorch', 'tensorflow']",162500.0
Data Scientist,2023-11-28 15:41:49,United States,"['c', 'sap']",141951.5
Data Engineer,2023-08-10 06:41:08,Spain,"['scala', 'mongodb', 'mongodb', 'shell', 'sql', 'sas', 'sas', 'ibm cloud', 'snowflake', 'oracle', 'spark', 'kafka', 'airflow', 'tableau']",134241.0
Data Analyst,2023-02-02 05:01:10,Brazil,"['sql', 'python', 'r', 'looker']",79200.0
Data Analyst,2023-01-05 11:00:14,United States,"['sql', 'python', 'power bi', 'tableau', 'alteryx']",67500.0
Data Engineer,2023-04-28 12:57:07,Sudan,"['sql', 'c#', 'javascript', 'php', 'python', 'r', 'shell', 'oracle', 'azure', 'databricks', 'aws', 'unix', 'power bi', 'ssis']",112500.0
Data Analyst,2023-02-19 06:00:48,United States,['aws'],115000.0
Data Engineer,2023-01-25 23:24:21,United States,"['python', 'java', 'javascript', 'bash', 'nosql', 'mysql', 'oracle', 'aws', 'linux']",149874.0
Data Engineer,2023-06-29 16:06:51,United States,"['sql', 'sql server', 'azure', 'github']",90000.0
Data Engineer,2023-11-12 11:03:17,United States,"['sql', 'python', 'c++', 'c#', 'scala']",164000.0
Data Engineer,2023-01-09 11:10:32,United States,"['sql', 'python', 'scala', 'java', 'redshift', 'spark', 'airflow', 'jenkins']",90000.0
Data Engineer,2023-11-15 06:07:15,United States,"['python', 'sql', 'powershell', 'azure', 'aws', 'redshift', 'databricks', 'snowflake', 'pyspark', 'pandas', 'excel', 'power bi', 'git', 'terraform', 'ansible', 'jenkins']",136000.0
Software Engineer,2023-06-27 00:04:25,United States,"['java', 'golang', 'erlang', 'sql', 'gcp', 'docker', 'kubernetes']",125000.0
Data Analyst,2023-08-17 12:01:09,United States,"['sql', 'javascript', 'excel', 'power bi', 'tableau']",72500.0
Data Scientist,2023-05-31 23:03:23,United States,"['sql', 'python', 'r', 'scala']",154000.0
Data Scientist,2023-02-03 08:04:31,United States,['go'],90000.0
Data Engineer,2023-10-23 16:03:40,United States,"['nosql', 'sql', 'sql server', 'mysql', 'oracle', 'redshift', 'snowflake', 'azure', 'bigquery', 'aws', 'excel', 'power bi', 'tableau']",112500.0
Data Analyst,2023-02-01 12:02:24,United States,"['sql', 'power bi', 'flow']",80000.0
Data Analyst,2023-06-01 15:01:11,United States,"['sql', 'express', 'power bi', 'tableau', 'excel']",110000.0
Data Engineer,2023-03-17 08:10:02,Germany,"['python', 'bigquery', 'tableau', 'looker']",147500.0
Data Analyst,2023-03-15 02:30:17,Pakistan,"['sql', 'python', 'go', 'tableau']",111175.0
Senior Data Scientist,2023-03-14 15:19:38,India,['hadoop'],157500.0
Data Analyst,2023-09-07 16:02:23,United States,"['gdpr', 'excel', 'tableau', 'power bi']",44000.0
Software Engineer,2023-11-15 01:38:09,France,"['python', 'aws', 'terraform']",142500.0
Data Analyst,2023-11-01 01:00:46,United States,"['sql', 'express']",136793.0
Software Engineer,2023-08-21 12:00:54,United States,"['word', 'spreadsheet']",115000.0
Data Scientist,2023-01-10 16:42:49,Netherlands,"['python', 'git']",157500.0
Senior Data Scientist,2023-04-28 22:04:46,United States,"['python', 'sql', 'databricks', 'azure', 'aws', 'gcp', 'spark', 'airflow', 'git']",160000.0
Data Analyst,2023-06-21 08:42:16,Mexico,"['python', 'plotly', 'pandas', 'seaborn', 'numpy', 'scikit-learn', 'power bi']",99150.0
Data Scientist,2023-07-19 21:13:35,Canada,"['scala', 'python', 'nosql', 'mongodb', 'mongodb', 'aws', 'spark', 'hadoop']",122500.0
Data Engineer,2023-09-14 09:09:36,United States,"['java', 'sql', 'c', 'crystal', 'sas', 'sas', 'oracle', 'ibm cloud', 'sap', 'cognos']",145000.0
Senior Data Engineer,2023-03-20 22:15:29,United States,"['python', 'aws', 'azure', 'gcp', 'docker', 'kubernetes']",150000.0
Data Engineer,2023-08-13 14:06:05,United States,"['java', 'python', 'javascript', 'linux']",96550.0
Data Engineer,2023-05-08 16:44:31,Israel,"['python', 'sql', 'nosql', 'snowflake', 'aws', 'kafka', 'spark', 'airflow', 'flow', 'docker']",79200.0
Data Scientist,2023-01-11 06:05:10,United States,"['python', 'sql', 'r', 'matlab', 'jupyter', 'spark', 'excel', 'terminal']",158857.5
Data Engineer,2023-08-21 03:57:01,United States,"['python', 'r', 'sql', 'rshiny', 'excel', 'tableau']",100000.0
Senior Data Scientist,2023-09-07 07:36:07,South Korea,['python'],79200.0
Data Engineer,2023-05-27 06:15:10,Netherlands,"['sql', 'python', 'c#', 'azure', 'databricks', 'pyspark', 'kubernetes', 'gitlab']",147500.0
Data Engineer,2023-07-11 13:10:55,Sudan,"['azure', 'ssis']",127500.0
Data Scientist,2023-08-02 08:04:01,United States,"['python', 'sql', 'spark']",281450.5
Data Scientist,2023-07-25 11:05:09,United States,"['python', 'r', 'sql']",90000.0
Senior Data Scientist,2023-08-30 10:05:50,United States,"['python', 'c++', 'java', 'sql', 'cassandra', 'hadoop', 'spark', 'tableau']",375000.0
Data Scientist,2023-10-21 07:03:36,United States,"['python', 'r', 'sql', 'azure', 'aws', 'pyspark', 'hadoop', 'spark', 'pytorch']",101014.0
Data Engineer,2023-12-24 02:07:50,United States,"['sql', 'python', 'gcp', 'bigquery', 'airflow', 'pyspark', 'jupyter', 'excel', 'docker']",108415.5
Data Scientist,2023-02-27 17:38:21,United States,"['r', 'python', 'sql', 'scala', 'java', 'c++', 'matplotlib', 'tableau']",150000.0
Data Analyst,2023-02-10 22:02:13,United States,"['sql', 'sql server', 'ssis', 'ssrs', 'power bi', 'tableau']",65000.0
Senior Data Analyst,2023-08-02 12:01:01,United States,"['sql', 'vba', 'tableau', 'excel']",99750.0
Senior Data Engineer,2023-10-03 08:19:11,United States,"['java', 'scala', 'python', 'nosql', 'mongo', 'shell', 'cassandra', 'redshift', 'snowflake', 'aws', 'azure', 'spark', 'hadoop', 'kafka']",173500.0
Data Scientist,2023-04-01 06:03:12,United States,"['go', 'python', 'sql', 'java', 'c++', 'numpy', 'pandas', 'tensorflow', 'tableau', 'git']",106439.5
Data Analyst,2023-10-09 16:05:58,United States,['excel'],50000.0
Data Scientist,2023-12-20 07:08:50,India,"['python', 'r', 'sql', 'aws', 'gcp', 'azure', 'bigquery', 'airflow', 'kubernetes', 'docker']",162500.0
Data Scientist,2023-01-06 09:05:25,United States,"['python', 'r', 'scala', 'sql', 'sql server', 'pandas', 'scikit-learn', 'numpy', 'pytorch', 'pyspark']",90000.0
Data Analyst,2023-08-28 12:02:10,United States,"['sql', 'power bi', 'excel']",80000.0
Data Engineer,2023-03-13 12:14:15,United States,"['nosql', 'sql', 'no-sql', 'git']",140000.0
Data Analyst,2023-03-29 19:17:55,United States,"['python', 'r']",70000.0
Senior Data Scientist,2023-05-25 18:04:36,United States,"['r', 'python', 'sas', 'sas', 'tableau', 'power bi']",112450.0
Senior Data Scientist,2023-09-19 10:01:33,United States,"['sql', 'python', 'nosql', 'aws', 'pytorch']",173000.0
Data Analyst,2023-02-24 22:55:07,Hong Kong,"['assembly', 'sql', 'sheets']",102500.0
Data Engineer,2023-04-17 18:36:43,Sudan,"['sql', 'python', 'aws', 'snowflake', 'redshift', 'databricks']",135000.0
Senior Data Analyst,2023-02-16 08:03:44,United States,"['outlook', 'word', 'excel']",90000.0
Data Analyst,2023-01-25 11:50:46,United Kingdom,"['sql', 'sas', 'sas', 'python', 'scala']",51014.0
Data Analyst,2023-06-21 17:00:18,United States,['excel'],51500.0
Data Engineer,2023-07-26 08:06:24,United States,"['python', 'scala', 'aws', 'spark', 'terraform', 'gitlab']",127004.0
Data Analyst,2023-01-05 20:00:31,United States,"['sas', 'sas', 'python', 'r', 'sql', 'drupal', 'sharepoint', 'tableau', 'visio', 'excel', 'microsoft teams']",109159.0
Data Analyst,2023-07-12 21:28:35,South Korea,"['python', 'r', 'spark', 'airflow', 'github']",111175.0
Data Engineer,2023-01-21 14:15:13,United States,"['python', 'redshift', 'airflow', 'spring']",205000.0
Data Analyst,2023-07-01 08:12:36,Singapore,"['python', 'spark']",149653.0
Data Engineer,2023-06-28 10:08:35,United States,"['go', 'java', 'sql', 'nosql', 'python', 'scala', 'cassandra', 'databricks', 'spring', 'hadoop', 'spark', 'kafka']",100000.0
Data Scientist,2023-08-08 11:03:49,United States,"['r', 'python', 'sql', 'sql server', 'snowflake', 'tableau', 'power bi']",72870.0
Data Scientist,2023-03-28 21:17:49,United States,"['python', 'java', 'sql', 'nosql', 'mongodb', 'mongodb', 'oracle']",107500.0
Software Engineer,2023-11-01 23:20:43,Poland,"['scala', 'aws', 'kafka', 'kubernetes']",65769.0
Data Analyst,2023-04-25 12:25:00,Poland,"['sql', 'vba', 'spark', 'sap', 'flow']",111175.0
Machine Learning Engineer,2023-07-15 01:01:35,Sudan,"['c', 'r', 'python', 'sql', 'nosql', 'dynamodb', 'aws', 'gcp', 'hadoop', 'spark', 'airflow', 'tensorflow', 'pytorch', 'flask', 'docker', 'kubernetes', 'git', 'gitlab']",165318.0
Data Analyst,2023-09-05 04:19:21,Poland,"['sql', 'python', 'bigquery', 'tableau']",111175.0
Data Scientist,2023-06-12 10:02:36,United States,"['databricks', 'excel', 'unify']",116950.0
Data Analyst,2023-01-30 19:58:15,New Zealand,"['r', 'python', 'sql', 'matlab', 'jupyter', 'spark', 'power bi']",51014.0
Data Scientist,2023-01-11 01:20:48,United States,"['python', 'r', 'sql', 'databricks', 'snowflake', 'spark', 'kubernetes', 'docker']",105000.0
Data Scientist,2023-08-22 18:04:09,United States,"['r', 'python', 'go']",140000.0
Data Scientist,2023-05-15 09:26:14,United States,"['python', 'scala', 'java', 'r', 'julia', 'matlab', 'tensorflow', 'spark', 'hadoop']",87705.0
Data Analyst,2023-08-03 23:00:02,United States,"['sql', 'sql server', 'ssis', 'excel']",93854.0
Data Scientist,2023-05-30 10:44:21,Puerto Rico,"['sql', 'express']",115000.0
Data Engineer,2023-03-24 11:09:44,United States,"['nosql', 'python', 'java', 'aws', 'word', 'chef']",120000.0
Data Scientist,2023-07-07 13:04:17,United States,"['sql', 'python', 'aws', 'tidyverse', 'matplotlib', 'tableau', 'git']",150000.0
Senior Data Scientist,2023-01-24 07:05:51,United States,"['sql', 'postgresql', 'oracle', 'snowflake']",125000.0
Machine Learning Engineer,2023-02-28 23:26:50,Canada,"['aws', 'gcp', 'databricks', 'tensorflow', 'pytorch', 'kafka']",90000.0
Senior Data Engineer,2023-08-16 07:49:54,Canada,"['python', 'sql', 'aws', 'pyspark']",115000.0
Senior Data Analyst,2023-05-12 07:00:44,United States,"['sql', 'python', 'c#', 'r', 'java', 'power bi', 'ssrs']",87500.0
Data Analyst,2023-07-04 23:10:40,Canada,"['sql', 'python', 'hadoop', 'spark', 'express', 'tableau']",99150.0
Data Analyst,2023-09-27 02:38:45,United States,"['sql', 'sql server', 'excel', 'alteryx', 'tableau']",70469.5
Data Scientist,2023-01-30 08:03:55,United States,"['python', 'aws', 'tensorflow', 'pytorch']",150000.0
Senior Data Scientist,2023-02-20 09:02:52,United States,"['r', 'python', 'sql', 'tableau', 'git']",125000.0
Data Analyst,2023-07-07 00:01:13,United States,"['matlab', 'python']",170000.0
Data Engineer,2023-01-14 12:07:18,United States,['splunk'],90000.0
Senior Data Scientist,2023-02-07 00:02:59,Sudan,"['python', 'r', 'sql', 'sas', 'sas', 'aws', 'gcp', 'azure']",110000.0
Data Engineer,2023-02-16 09:07:27,United States,"['sql', 'sql server', 'oracle', 'hadoop', 'spark', 'kafka']",125000.0
Senior Data Scientist,2023-07-13 17:13:54,Italy,"['r', 'tableau']",105300.0
Data Engineer,2023-09-20 14:07:37,United States,"['sql', 'python', 'powershell', 'azure', 'databricks', 'gdpr']",125000.0
Data Scientist,2023-01-17 07:03:49,United States,"['sql', 'java', 'c++', 'r', 'sas', 'sas', 'matlab', 'python', 'julia', 'mysql', 'oracle', 'azure']",125000.0
Data Scientist,2023-07-28 07:02:41,United States,"['python', 'gcp', 'nltk', 'tensorflow', 'pytorch']",90000.0
Data Engineer,2023-01-18 19:49:53,Sudan,"['python', 'sql', 'aws', 'pyspark']",110144.390625
Data Analyst,2023-02-27 19:59:59,United States,"['sql', 'powershell', 'c#', 'javascript', 'sql server', 'azure', 'asp.net', 'power bi', 'tableau', 'sharepoint', 'flow']",92500.0
Senior Data Scientist,2023-01-05 23:40:13,Indonesia,"['python', 'excel']",157500.0
Data Analyst,2023-07-30 11:00:50,United States,"['sql', 'tableau', 'power bi', 'looker']",123000.0
Data Scientist,2023-07-28 07:02:23,United States,"['python', 'sql', 'bigquery', 'pandas', 'numpy', 'plotly']",140000.0
Data Scientist,2023-09-22 22:03:46,United States,"['sql', 'python', 'r', 'oracle', 'express', 'tableau', 'power bi']",127500.0
Senior Data Scientist,2023-08-28 20:03:58,United States,"['python', 'r', 'sql', 'aws', 'gcp', 'databricks', 'pyspark']",174375.0
Business Analyst,2023-07-14 14:01:42,Sudan,"['sql', 'r', 'sas', 'sas', 'oracle', 'spss']",99150.0
Data Analyst,2023-07-08 15:11:21,Germany,"['sql', 'python', 'gcp']",165000.0
Cloud Engineer,2023-01-31 02:36:12,South Korea,"['java', 'python', 'nosql', 'mongodb', 'mongodb', 'dynamodb', 'aws', 'hadoop', 'spark', 'flow']",79200.0
Senior Data Scientist,2023-06-06 22:27:37,United States,"['r', 'python', 'sas', 'sas', 'sql', 'aws', 'azure', 'gcp', 'hadoop', 'spark']",145000.0
Data Analyst,2023-08-14 19:00:27,United States,"['sql', 'python', 'tableau', 'sharepoint', 'excel', 'power bi', 'visio', 'flow']",95000.0
Senior Data Analyst,2023-03-17 07:01:36,United States,"['tableau', 'excel']",101808.0
Data Analyst,2023-03-14 10:06:31,United States,['sharepoint'],102500.0
Data Scientist,2023-06-22 14:25:13,United States,"['python', 'nosql', 'mongodb', 'mongodb', 'oracle', 'pandas', 'numpy']",108000.0
Data Engineer,2023-01-17 00:54:53,Philippines,"['sql', 'javascript']",147500.0
Senior Data Engineer,2023-02-19 07:34:50,United States,"['sql', 'sql server', 'aws', 'snowflake', 'azure', 'spark', 'kafka', 'ssis', 'powerpoint', 'sharepoint', 'visio', 'flow', 'github', 'confluence']",125000.0
Senior Data Scientist,2023-02-04 02:04:20,United States,"['r', 'python', 'spark']",137500.0
Data Scientist,2023-01-25 00:06:45,United States,"['python', 'r']",136656.0
Data Scientist,2023-09-01 02:31:03,United States,"['python', 'sql']",133900.0
Senior Data Analyst,2023-06-16 20:00:07,United States,"['sql', 'power bi', 'ssrs']",102500.0
Senior Data Engineer,2023-07-31 17:07:40,United States,"['sql', 'c#', 'python', 'scala', 'sql server', 'azure', 'databricks', 'spark', 'power bi']",130000.0
Machine Learning Engineer,2023-04-18 08:12:45,Australia,"['python', 'kafka', 'jupyter', 'spark', 'terraform', 'ansible', 'kubernetes', 'docker', 'git']",101029.0
Data Analyst,2023-08-16 21:00:12,United States,"['sql', 'python', 'r', 'tableau', 'power bi']",130000.0
Data Scientist,2023-05-27 10:16:23,Germany,"['python', 'aws', 'redshift', 'fastapi', 'linux', 'jenkins', 'terraform']",166419.5
Data Scientist,2023-07-06 08:04:39,United States,"['python', 'sql', 'aws', 'azure', 'bigquery', 'tableau', 'power bi', 'qlik']",90000.0
Senior Data Scientist,2023-03-18 11:25:18,France,"['r', 'sas', 'sas', 'python', 'sql', 'nosql']",89100.0
Data Analyst,2023-06-14 20:00:35,United States,"['excel', 'power bi']",62500.0
Data Analyst,2023-04-27 15:02:12,United States,"['sql', 'power bi', 'tableau']",85000.0
Data Engineer,2023-07-11 13:11:45,United States,"['sql', 'python', 'java', 'c++', 'go', 'dynamodb', 'aws', 'azure', 'redshift', 'snowflake', 'hadoop', 'spark', 'kafka', 'qlik', 'power bi', 'tableau', 'github', 'gitlab']",104000.0
Data Scientist,2023-05-03 04:05:27,United States,"['python', 'perl', 'java', 'assembly', 'shell', 'unix']",123378.0
Data Analyst,2023-11-29 19:00:11,United States,"['excel', 'word', 'powerpoint']",105000.0
Data Scientist,2023-09-06 17:49:06,Sudan,"['sql', 'python', 'r', 'java', 'go', 'azure']",150000.0
Data Analyst,2023-08-16 11:53:25,United Kingdom,"['sheets', 'tableau']",100500.0
Data Engineer,2023-01-20 07:43:47,Sudan,"['sql', 'python', 'java', 'c', 'mysql', 'sql server', 'db2', 'bigquery', 'oracle', 'hadoop', 'spark', 'linux', 'jira']",105000.0
Data Scientist,2023-01-05 08:00:13,United States,"['python', 'r', 'sql', 'databricks', 'snowflake', 'spark', 'tensorflow', 'numpy', 'pytorch', 'matplotlib', 'kubernetes', 'docker']",80000.0
Data Engineer,2023-12-12 08:22:00,United States,"['python', 'sql']",205000.0
Data Scientist,2023-05-02 07:08:44,United States,"['r', 'python', 'sql', 'spss']",90000.0
Data Scientist,2023-03-27 19:55:39,Sudan,"['python', 'aws']",127500.0
Senior Data Engineer,2023-03-20 14:13:54,United States,"['sql', 'sql server', 'snowflake', 'azure', 'alteryx', 'power bi', 'tableau', 'looker']",135000.0
Data Engineer,2023-01-29 16:10:45,United States,"['sql', 'python', 'powershell', 'sql server', 'databricks', 'azure', 'spark', 'tableau', 'power bi', 'qlik', 'git']",147500.0
Data Engineer,2023-12-05 16:04:58,United States,"['aws', 'jira']",179000.0
Senior Data Scientist,2023-09-01 00:30:29,United States,"['python', 'spark']",225000.0
Senior Data Scientist,2023-09-01 11:24:25,United States,"['python', 'sql', 'pytorch', 'tensorflow']",125000.0
Data Scientist,2023-01-24 07:04:23,United States,"['python', 'sql', 'spring']",135720.0
Data Analyst,2023-05-12 10:00:05,United States,"['sql', 'vba', 'excel', 'powerpoint', 'tableau']",95000.0
Data Scientist,2023-01-23 17:05:48,United States,"['r', 'sas', 'sas', 'python', 'nosql', 'sql', 'azure', 'spark', 'hadoop', 'spss', 'tableau', 'power bi', 'excel', 'powerpoint', 'word']",110000.0
Senior Data Scientist,2023-06-23 22:21:12,Sudan,"['python', 'sql', 'pandas', 'tensorflow']",154000.0
Business Analyst,2023-08-29 11:03:45,United States,"['sql', 'python', 'power bi']",90000.0
Data Engineer,2023-08-31 07:15:00,United States,"['gcp', 'bigquery']",122500.0
Data Scientist,2023-05-26 20:59:59,United States,"['r', 'python', 'sql', 'aws', 'azure', 'datarobot']",66250.0
Senior Data Analyst,2023-09-29 08:02:19,United States,['excel'],96500.0
Data Scientist,2023-05-12 11:31:42,United States,"['python', 'sql']",90000.0
Data Scientist,2023-12-29 06:20:52,United States,"['r', 'sql', 'python']",75000.0
Data Engineer,2023-08-23 07:06:08,United States,"['python', 'r', 'sql', 'spark', 'kubernetes']",165000.0
Data Scientist,2023-05-09 02:23:29,Mexico,"['sql', 'python', 'azure']",157500.0
Data Analyst,2023-11-15 22:03:02,United States,['sql'],80000.0
Senior Data Analyst,2023-07-17 09:57:09,Brazil,"['azure', 'databricks', 'kafka']",165000.0
Data Scientist,2023-02-02 17:02:44,United States,"['java', 'hadoop', 'spark']",123340.0
Data Engineer,2023-07-17 13:15:19,United States,"['sql', 'python', 'postgresql', 'snowflake', 'aws', 'databricks', 'airflow', 'looker', 'tableau', 'docker', 'gitlab']",159264.0
Data Scientist,2023-02-17 21:03:28,United States,"['sql', 'python', 'r']",140000.0
Senior Data Analyst,2023-02-11 09:00:16,United States,"['sql', 'bigquery', 'snowflake', 'tableau']",51014.0
Senior Data Engineer,2023-02-22 12:57:04,United States,"['sql', 'python', 'aws', 'oracle', 'hadoop', 'tableau']",150000.0
Data Scientist,2023-08-02 07:56:37,Sudan,"['python', 'sql', 'spark']",281450.5
Data Engineer,2023-02-14 21:34:06,Sudan,"['python', 'sql', 'nosql', 'azure', 'pyspark', 'spark']",172500.0
Data Engineer,2023-02-16 16:08:34,United States,"['python', 'sql', 'azure', 'aws', 'airflow', 'spark', 'kafka', 'terraform']",197000.0
Senior Data Analyst,2023-09-01 16:31:46,India,"['go', 'sql', 'sql server', 'snowflake', 'redshift', 'oracle', 'bigquery', 'tableau', 'power bi', 'excel', 'sheets', 'looker']",111175.0
Data Scientist,2023-08-25 13:47:34,United States,"['python', 'hadoop', 'pandas', 'jupyter', 'excel']",191000.0
Machine Learning Engineer,2023-07-25 09:29:48,Singapore,"['nosql', 'c++', 'c', 'python', 'mysql']",101029.0
Data Engineer,2023-02-22 07:16:16,India,"['python', 'sql', 'azure', 'jupyter', 'spark', 'docker', 'kubernetes', 'jenkins']",147500.0
Data Analyst,2023-02-06 18:46:04,Austria,"['sql', 'aws', 'spark']",163782.0
Data Scientist,2023-08-08 11:03:47,United States,"['matlab', 'python']",120307.0
Data Analyst,2023-02-01 18:01:17,United States,['spss'],85000.0
Data Scientist,2023-01-25 21:47:48,India,"['aws', 'gcp', 'azure', 'ssis', 'ssrs', 'power bi']",93600.0
Data Analyst,2023-01-31 01:00:31,United States,['excel'],59000.0
Machine Learning Engineer,2023-03-16 22:56:41,Belgium,"['perl', 'python', 'matlab', 'r', 'bash', 'sql', 'nosql', 'mongodb', 'mongodb', 'sas', 'sas', 'cassandra', 'aws', 'azure', 'oracle', 'nltk', 'scikit-learn', 'linux', 'unix']",72900.0
Senior Data Scientist,2023-12-14 03:27:31,Sudan,"['sas', 'sas', 'sql', 'hadoop', 'spss']",125000.0
Data Analyst,2023-10-07 01:37:06,United States,"['r', 'python', 'sql', 'airflow', 'tableau', 'power bi']",85600.0
Data Scientist,2023-05-09 20:06:54,United States,"['r', 'python', 'go']",108286.5
Data Analyst,2023-02-20 06:01:43,United States,"['sql', 'python', 'snowflake']",90000.0
